acp,2015-10-16,40.657
acp,2015-10-19,41.425
acp,2015-10-20,41.409
acp,2015-10-21,41.259
acp,2015-10-22,41.538
acp,2015-10-23,41.62
acp,2015-10-26,42.034
acp,2015-10-27,42.456
acp,2015-10-28,42.343
acp,2015-10-29,42.178
acp,2015-10-30,43.005
acp,2015-11-02,42.907
acp,2015-11-03,42.9
acp,2015-11-04,42.907
acp,2015-11-05,42.154
acp,2015-11-06,42.381
acp,2015-11-09,42.598
acp,2015-11-10,42.004
acp,2015-11-12,42.313
acp,2015-11-13,41.402
acp,2015-11-16,42.907
acp,2015-11-17,43.284
acp,2015-11-18,44.186
acp,2015-11-19,44.014
acp,2015-11-20,44.262
acp,2015-11-23,44.337
acp,2015-11-24,44.112
acp,2015-11-25,43.998
acp,2015-11-26,44.164
acp,2015-11-27,43.706
acp,2015-11-30,43.171
acp,2015-12-01,43.178
acp,2015-12-02,43.653
acp,2015-12-03,43.284
acp,2015-12-04,43.065
acp,2015-12-07,43.653
acp,2015-12-08,42.606
acp,2015-12-09,43.133
acp,2015-12-10,42.494
acp,2015-12-11,41.802
acp,2015-12-14,40.665
acp,2015-12-15,40.68
acp,2015-12-16,41.251
acp,2015-12-17,41.997
acp,2015-12-18,42.907
acp,2015-12-21,42.306
acp,2015-12-22,41.778
acp,2015-12-23,42.012
acp,2015-12-28,42.335
acp,2015-12-29,42.907
acp,2015-12-30,42.757
acp,2016-01-04,41.778
acp,2016-01-05,42.87
acp,2016-01-07,41.59
acp,2016-01-08,41.237
acp,2016-01-11,40.65
acp,2016-01-12,42.343
acp,2016-01-13,41.522
acp,2016-01-14,40.95
acp,2016-01-15,40.92
acp,2016-01-18,41.213
acp,2016-01-19,41.251
acp,2016-01-20,41.778
acp,2016-01-21,42.17
acp,2016-01-22,43.209
acp,2016-01-25,42.696
acp,2016-01-26,42.418
acp,2016-01-27,42.735
acp,2016-01-28,42.907
acp,2016-01-29,42.252
acp,2016-02-01,42.53
acp,2016-02-02,42.794
acp,2016-02-03,42.848
acp,2016-02-04,42.794
acp,2016-02-05,42.907
acp,2016-02-08,42.359
acp,2016-02-09,42.23
acp,2016-02-10,41.793
acp,2016-02-11,42.237
acp,2016-02-12,42.907
acp,2016-02-15,42.441
acp,2016-02-16,42.794
acp,2016-02-17,42.907
acp,2016-02-18,43.133
acp,2016-02-19,42.839
acp,2016-02-22,43.32
acp,2016-02-23,42.396
acp,2016-02-24,42.832
